,PostUrl,NrLikes,IsVideo,Credits
164,https://www.instagram.com/p/B3NgNmvHTMl,559152,No,credit: @quik_play
60,https://www.instagram.com/p/B97F6dMHfrz,450118,No,credit: searescueirland/tiktok
1928,https://www.instagram.com/p/B2cFMNZInJA,443940,Yes,credit: @musiacal 
167,https://www.instagram.com/p/B2ZaZI6HfMn,426292,No,credit shown on individual posts ]
1769,https://www.instagram.com/p/CANvz67nHxm,351034,No,credit: @jackiegansky & unknown
68,https://www.instagram.com/p/B9zBaluHMpH,346755,No,credit: madmax_fluffyroad/tiktok
1766,https://www.instagram.com/p/CAX_kdYnOxM,337307,No,credit: johnboderting/tiktok
50,https://www.instagram.com/p/B-MzsvNnKnU,284395,Yes,credit: starbucksrecipes/tiktok
53,https://www.instagram.com/p/B-Hp2h1H4HX,280338,No,credit: urban.room.makeover/tiktok
165,https://www.instagram.com/p/B3FuOyWnP2X,274569,Yes,credit: jack_alexus/tiktok
54,https://www.instagram.com/p/B-FOlQ_n6L5,264841,No,"credit: jasmine.michh/tiktok, mochacloud/tiktok, @imhannahcho"
1767,https://www.instagram.com/p/CAVentVH3dX,263547,No,credit: paraprincess95/tiktok
3615,https://www.instagram.com/p/B-eeCP0i1ow,242864,No,credits: @wickedwinks
92,https://www.instagram.com/p/B9KEgIYHSme,229183,No,credit: animalswild/tiktok
1777,https://www.instagram.com/p/B_xayJXHBUV,225956,No,credit: vindrawilter/tiktok & unknown
161,https://www.instagram.com/p/B5V4_hcnWPR,217061,Yes,credit: worldsurfleague/tiktok
1807,https://www.instagram.com/p/B-H9SsXHfAp,215247,No,credit: skyviews35 & waterandlight on tiktok
1758,https://www.instagram.com/p/CAsqKYrH8b0,209233,No,credit: johnboderting/tiktok
1811,https://www.instagram.com/p/B92B5obHKE0,192167,No,credit: @leomahalo & @ianjpaintedit 
1827,https://www.instagram.com/p/B81gEKhnD-D,189433,No,credit: @musiacal 
1862,https://www.instagram.com/p/B6lQ4ZQnGPP,189103,Yes,credit: _mb______ on tiktok
1818,https://www.instagram.com/p/B9hZfDjHQHc,188145,No,credit: @chaoscanine & @saraalexmullen 
5,https://www.instagram.com/p/CAdOikdnHr3,183606,No,credit: david.beck/tiktok @sweet_2pi
270,https://www.instagram.com/p/CAItRl-H6vk,170168,No,credit: @fin_draper
335,https://www.instagram.com/p/B7buGWknoW2,167308,No,credit: @macroroom
38,https://www.instagram.com/p/B-hbmxdnMeA,164875,Yes,credit: starbucksrecipes/tiktok
1802,https://www.instagram.com/p/B-UtnsunrRt,164720,No,credit: kimmietow/tiktok & unknown
1772,https://www.instagram.com/p/CAGAzyqn20W,162931,No,credit: pubity/tiktok & menlovetools/tiktok
108,https://www.instagram.com/p/B8pGhXcnlie,162490,No,credit: jordi.koalitic/tiktok
271,https://www.instagram.com/p/CAGSRThHIYd,159498,No,credit: @ tiktok
1789,https://www.instagram.com/p/B_IQYZ_nvkh,158654,No,credit: searescueirland on tiktok
51,https://www.instagram.com/p/B-Koo4RHV9L,157850,No,credit: @stella.leff
107,https://www.instagram.com/p/B8q2_I-HPGY,146095,No,credit: via @round.boys
277,https://www.instagram.com/p/B_22tRTHsv4,145511,No,credit: @dangdang_official_
1829,https://www.instagram.com/p/B8wbaQoH1Jt,140966,Yes,credit: @ freezee149/tiktok
59,https://www.instagram.com/p/B99hB8Vn6B1,140631,Yes,credit: sieracutms/tiktok
46,https://www.instagram.com/p/B-R_xOIHCXf,138229,No,credit: @avamendyy
267,https://www.instagram.com/p/CAQin52HrOR,136956,No,credit: @fin_draper
11,https://www.instagram.com/p/B_7kt73HL0M,136798,No,credit: paigedormal/tiktok mari.lune/tiktok
1773,https://www.instagram.com/p/CADe0E5Hxrx,135189,No,credit: @abelgcarden
1819,https://www.instagram.com/p/B9erh-pHuPa,134534,No,credit: @fresco402
57,https://www.instagram.com/p/B-AgNsUn5tu,133966,No,credit: @beccstewart
1812,https://www.instagram.com/p/B9zWhQSH18Z,126755,No,credit: @brodiesmith21 & @miso_ara 
77,https://www.instagram.com/p/B9mPQNGH-oD,126694,Yes,credit: eeinart/tiktok
56,https://www.instagram.com/p/B-DHfYEnBw5,126622,Yes,credit: starbucksrecipes/tiktok
25,https://www.instagram.com/p/B_C8mZRnlQA,125134,No,credit: jess.ahart/tiktok
3490,https://www.instagram.com/p/CAr9hahnNVL,122552,No,"credits:venustwofacecat/tiktok, dm me"
327,https://www.instagram.com/p/B7wXjVXHLxk,118527,No,credit: @vaustinl
14,https://www.instagram.com/p/B_0MaWSHj_v,115215,No,credit: kimmyream/tiktok
1776,https://www.instagram.com/p/B_z_55EHtOY,112041,No,credit: mckinnleymalone/tiktok & @dogsianz
272,https://www.instagram.com/p/CADs4adnZWB,111644,No,credit: @fin_draper
3507,https://www.instagram.com/p/CAccKsOqO7d,111225,No,credits:dm me
93,https://www.instagram.com/p/B9J71NEnKCm,110395,Yes,credit: julzdunne17/tiktok
1932,https://www.instagram.com/p/B2Mns-HILAF,109579,Yes,credit: @turdtwig @raindropcomps 
1112,https://www.instagram.com/p/B8ZikhiHyGA,106543,No,credit @please comment or dm for credit no copyright intended
554,https://www.instagram.com/p/B-uRWXoBhU-,106082,No,credit!
255,https://www.instagram.com/p/CAvfD2Tni3t,105236,No,credit: @ paraprinces95/tiktok
99,https://www.instagram.com/p/B84YXE5HUfr,105197,Yes,credit: wooppuup/tiktok
1782,https://www.instagram.com/p/B_cz9djH_Da,105086,No,credit: @gm__golf on tiktok & unknown
451,https://www.instagram.com/p/B_243F3hit9,104538,No,credit @please comment or dm for credit no copyright intended
42,https://www.instagram.com/p/B-XUWgRHCwt,103545,No,credit: @hollyandhazelnut @andersonkelley
18,https://www.instagram.com/p/B_czxliH4v_,102066,No,credit: nicolebutner/tiktok
265,https://www.instagram.com/p/CAVthxOnNRz,100950,No,credit: @leomahalo
1792,https://www.instagram.com/p/B-4voaEHJ8W,98122,No,credit: @hakanmartensson & @cakesallib
41,https://www.instagram.com/p/B-Z3nroH3nB,96271,Yes,credit: starbucksrecipes/tiktok
159,https://www.instagram.com/p/B5dELkQH-x9,96192,Yes,credit: globalviewpoint/tiktok
1795,https://www.instagram.com/p/B-mmnELnP4_,95696,No,credit: starbucksrecipes/tiktok
16,https://www.instagram.com/p/B_iTbHRnm13,95587,No,credit: mojothemonkey/tiktok
1823,https://www.instagram.com/p/B9KJyQ5nGyF,94408,Yes,credit: _mb______ on tiktok
43,https://www.instagram.com/p/B-U1-RQnDlM,94267,No,"credit: gopihenna, hennabyharmeet, bxr.xo (tiktok)"
8,https://www.instagram.com/p/CAVX3Lqn3YR,91629,No,credit: @john_derting22
1762,https://www.instagram.com/p/CAiWOOLHpz0,91232,No,credit: @maxplore
1803,https://www.instagram.com/p/B-SQjhknCI7,90822,No,credit: parkerlocke & theocaras/tiktok
326,https://www.instagram.com/p/B7y7CcqH2hl,90641,No,credit: @quik_play via @satisfytour
2022,https://www.instagram.com/p/CAn4FbyDQgU,88995,No,credits: dm me 
1806,https://www.instagram.com/p/B-KeLFjHbz1,88310,No,credit: @corey.funk 
1980,https://www.instagram.com/p/BzYYBXEo-EO,87851,Yes,credit: @legendaryshots
72,https://www.instagram.com/p/B9sJptjnLY8,86567,No,credit: anwar.123/tiktok
1768,https://www.instagram.com/p/CAQWSIjHMHC,86438,No,credit: @tristangeissler & @redbull
126,https://www.instagram.com/p/B8T1JH3nxaS,86404,No,credit: @theseanhavens
30,https://www.instagram.com/p/B-xRuntHaWn,85034,No,credit: william.henderdog/tiktok
3513,https://www.instagram.com/p/CAXRVNgK5CZ,83953,No,credits:minara.mp4 (tiktok) @onsatisfying
58,https://www.instagram.com/p/B9_4pVcHcD0,83864,Yes,credit: starbucksrecipes/tiktok
29,https://www.instagram.com/p/B-zlmFpH84x,82079,Yes,credit: @animalasmrvideo
90,https://www.instagram.com/p/B9PyGTIHCy-,81803,No,credit: via @storytimeclips
447,https://www.instagram.com/p/B_7nGL7BI9l,79440,No,credit @please comment or dm for credit no copyright intended
111,https://www.instagram.com/p/B8mtFb6nKAx,79397,No,credit: mckinnleymalone/tiktok
3502,https://www.instagram.com/p/CAhmpZKKuRx,78591,No,credits:dm me
95,https://www.instagram.com/p/B9H8g8WHsgl,78118,Yes,credit: wooppuup/tiktok
287,https://www.instagram.com/p/B_LEnp8H8Zh,77286,No,credit: @biganimals
120,https://www.instagram.com/p/B8Z7DcvHChL,76886,No,credit: enny/tiktok
2675,https://www.instagram.com/p/B_0RW8wn1mf,76487,No,credit: @jugglinjosh -
559,https://www.instagram.com/p/B-pcf-SBqxJ,75827,No,credit!
144,https://www.instagram.com/p/B7gdEjTnM_6,75447,No,credit: via @satisfyniki
1759,https://www.instagram.com/p/CAqEELNnhyh,75386,No,credit: @muscle.honey
299,https://www.instagram.com/p/B-IZlR8n_xX,75283,No,credit: @ tiktok via @satisfytour
1784,https://www.instagram.com/p/B_VEQKen8oI,75254,No,credit: @hollyandhazelnut @andersonkelley 
78,https://www.instagram.com/p/B9mDsdNHylG,74531,No,credit: benjaminyeet/tiktok
1785,https://www.instagram.com/p/B_SoDdlHV4e,74516,No,credit: robbiecrawford/tiktok
128,https://www.instagram.com/p/B8Pf98pnGyD,73624,No,credit: samii.rosee/tiktok
65,https://www.instagram.com/p/B92IQBjndfo,73450,Yes,credit: @beingbirch
404,https://www.instagram.com/p/CAYCQsXhvu0,73125,No,credit @jacoblawsonproductions *
148,https://www.instagram.com/p/B659-yIHXlT,72823,No,credit: @quik_play
4,https://www.instagram.com/p/CAfoZkgn2RX,72725,No,credit: @ang.isco
3515,https://www.instagram.com/p/CAVR4KPqD1r,71971,No,"credits:dm me,@discover.animal"
1794,https://www.instagram.com/p/B-r17PJnBun,71371,No,credit: starbucksrecipes/tiktok
1775,https://www.instagram.com/p/B_2kwCrHH_U,70639,No,credit: turtleasmrchannl/tiktok
28,https://www.instagram.com/p/B-zsjyEHkc_,70117,No,credit: b_turn11
494,https://www.instagram.com/p/B_dHMxJBbsP,69997,No,credit!
115,https://www.instagram.com/p/B8hAWprH1jA,69920,No,credit: via @ifyouhigh
1797,https://www.instagram.com/p/B-iGn3mHici,68993,No,credit: @musiacal 
1779,https://www.instagram.com/p/B_pqkwdHZyS,68268,No,credit: @pacinthesink
1774,https://www.instagram.com/p/B_7t_jZnbGi,68247,No,credit: @paulcuffaro & vindrawilter/tiktok
9,https://www.instagram.com/p/CALR0EEH2I1,68136,No,credit: paigedormal/tiktok mari.lune/tiktok
3498,https://www.instagram.com/p/CAkoMJsqu6y,67670,No,"credits:@olegaksamitny,@lukestonesuk via @satistimes"
634,https://www.instagram.com/p/B9cYykZh2Jb,67598,No,credit *
268,https://www.instagram.com/p/CAN-CCDH1Vj,67547,No,credit: @ paigedormal/tiktok
1805,https://www.instagram.com/p/B-NFqAJH3z4,66950,No,credit: @quik_play 
52,https://www.instagram.com/p/B-H8zyxnRxv,66843,Yes,credit: @kimmietow
62,https://www.instagram.com/p/B96wfUMHppc,66614,Yes,credit: tristan.black98/tiktok
12,https://www.instagram.com/p/B_5GIBhHpg5,66486,No,credit: pfriends521/tiktok
151,https://www.instagram.com/p/B6qpTGenfWZ,66415,Yes,credit: glittery_chloe/tiktok
127,https://www.instagram.com/p/B8RrFPOHkMx,65609,No,credit: supersa5/tiktok
2681,https://www.instagram.com/p/B_xi5Winiri,65477,No,credit
261,https://www.instagram.com/p/CAgADyWHJR-,65460,No,credit: @fin_draper
3503,https://www.instagram.com/p/CAfc2BaKVBu,65035,No,credits:tiktok/ minnieandtink/micheal082
434,https://www.instagram.com/p/CADqQldhYa-,64253,No,credit!
273,https://www.instagram.com/p/CABIUQ1nz0D,64014,No,credit: @ tiktok
557,https://www.instagram.com/p/B-r7gDkBbwE,63721,No,credit!
2660,https://www.instagram.com/p/CAA6x8VnqKn,62843,No,credit
323,https://www.instagram.com/p/B76p6bCHAys,62516,No,"credit: @msistema , @batty_on_the_beats"
82,https://www.instagram.com/p/B9eUbf2HsKd,62419,Yes,credit: skyviews35/tiktok
44,https://www.instagram.com/p/B-UjLqNnh3d,62247,Yes,credit: starbucksrecipes/tiktok
98,https://www.instagram.com/p/B86dnbUH2ll,61667,No,credit: @mrdoodle
1770,https://www.instagram.com/p/CALKRNoHLif,61186,No,credit: @windowcleaner & @uslusuleyman629
422,https://www.instagram.com/p/CALdydLhtMS,61026,No,credit @ftoon.ae *
1786,https://www.instagram.com/p/B_QB1Rpnmcv,60370,No,credit: starbucksrecipes/tiktok
24,https://www.instagram.com/p/B_FkCqBnk5D,59256,No,credit: jess.ahart/tiktok
109,https://www.instagram.com/p/B8ou-nInsN6,58746,No,credit: kwai
61,https://www.instagram.com/p/B966cffHAW2,57832,Yes,credit: lvcxdvs/tiktok
119,https://www.instagram.com/p/B8b5KYpnULU,57649,No,credit: @terraliving
2130,https://www.instagram.com/p/B9-g9ryDpl5,56507,No,credit: @seareascueirland/tiktok
70,https://www.instagram.com/p/B9uT1VIHTdP,56492,Yes,credit: @dannmace
338,https://www.instagram.com/p/B7OzscVnsT8,55276,No,credit: @fezzie_the_magician
1763,https://www.instagram.com/p/CAf-eOJnW9N,54654,No,credit: charlotte_martel/tiktok
