,PostUrl,NrLikes,IsVideo,Credits
30,https://www.instagram.com/p/B_vVmz3HBfJ,342343,No,Credit: @ dm me
33,https://www.instagram.com/p/B_nPV1EH0SD,286922,No,Credit: @ dm me
16,https://www.instagram.com/p/CATbIyZngax,236961,No,Credit: @ dm me
10,https://www.instagram.com/p/CAi__TJnQcZ,167199,No,Credit: @ dm me
121,https://www.instagram.com/p/B8CZe96Hqkq,160353,No,Credit: @sugar_boogerz
82,https://www.instagram.com/p/B9m_1foHom8,132866,No,Credit: @ ?
75,https://www.instagram.com/p/B94v8imnn0H,132759,No,Credit: @
15,https://www.instagram.com/p/CAV95FRHHkX,125020,No,Credit: @ dm me
8,https://www.instagram.com/p/CAoA6KynDsY,115368,No,Credit: @ dm me
66,https://www.instagram.com/p/B-QMgwLHLyv,114642,No,Credit: @christinacarrotcakes
76,https://www.instagram.com/p/B92bSHfHW8g,112961,No,Credit: @
7,https://www.instagram.com/p/CAqpd1Ep3rj,90914,No,Credit: @ dm me
26,https://www.instagram.com/p/B_5qxJnn-XK,83492,Yes,Credit: @shibakoma
73,https://www.instagram.com/p/B995-b-nXAE,77795,No,Credit: @isamuism
90,https://www.instagram.com/p/B9SHG0KHkDA,76813,No,Credit:  @berywam
72,https://www.instagram.com/p/B-AbFtxFBk6,76179,No,Credit: @vaustinl 
81,https://www.instagram.com/p/B9pZGIjnnE5,73768,No,Credit: @travis_chapman_artist
34,https://www.instagram.com/p/B_k3xi5HAFn,72096,No,Credit: @ dm me
117,https://www.instagram.com/p/B8MlgnWHZ2T,63593,No,Credit: ?? #slime #slimey #asmr #asmrsounds #christmas #sleepaid #slimevideo #crunch #crunchy #fluffyslime #jigglyslime #butterslime #crunchyslime #floam #crunchyfloam #satisfying #satisfyingvideo #art  #slimer #stressrelief #clearslime #art #satisfy #oddlysatisfying #slimerecipe #slimerepost #satisfyingfloam  #floammaking #daisoclay #slimecompilation
11,https://www.instagram.com/p/CAgZylUHgij,62010,No,Credit: @ dm me
67,https://www.instagram.com/p/B-Ntc7Wn2C4,58907,No,Credit: @ DM Me?
38,https://www.instagram.com/p/B_YD6pZnAWr,58616,No,Credit: @ dm me
43,https://www.instagram.com/p/B_LP2DlnpDw,58273,No,Credit: @ Dm me
52,https://www.instagram.com/p/B-z-2URnsAx,57654,No,Credit: @ DM Me?
60,https://www.instagram.com/p/B-fYDp7HDaQ,55365,No,Credit: @gm__golf
74,https://www.instagram.com/p/B97YBUwni_e,52850,No,Credit: @
110,https://www.instagram.com/p/B8ewE2rniOt,43300,No,Credit: @
78,https://www.instagram.com/p/B9xIK6_n8Cz,42906,No,Credit: @
84,https://www.instagram.com/p/B9henecHurs,42634,No,Credit: @ ?
86,https://www.instagram.com/p/B9cijFfnUh4,41396,Yes,Credit:  @yaziyolcusu
4,https://www.instagram.com/p/CAyLji5HfEj,41245,No,Credit: @ dm me
14,https://www.instagram.com/p/CAYzfvTH2OT,40533,No,Credit: @ dm me
65,https://www.instagram.com/p/B-SytzknEdj,37785,No,Credit: @
39,https://www.instagram.com/p/B_Vg0UpH_lG,37678,No,Credit: @ dm me -------------------------------------
37,https://www.instagram.com/p/B_c1L1lnOgO,36554,No,Credit: @ dm me
95,https://www.instagram.com/p/B9FL6csHHpN,36073,No,Credit:  @byselda
31,https://www.instagram.com/p/B_sh6TlnpJa,35759,No,Credit: @ dm me
28,https://www.instagram.com/p/B_0cssBH4Fe,35619,No,Credit: @ dm me
68,https://www.instagram.com/p/B-K2XhCHaTo,35554,No,Credit: @ DM Me?
80,https://www.instagram.com/p/B9sQgobHXEF,35176,No,Credit: @ ?
79,https://www.instagram.com/p/B9u12bdHsnX,31992,No,Credit: @nickuhad
51,https://www.instagram.com/p/B-2-ql7ngWU,31510,No,Credit: @ DM Me?
96,https://www.instagram.com/p/B9Cm5b1nEXi,29392,No,Credit:  @ ??
1,https://www.instagram.com/p/CA55PS1HXbU,29030,No,Credit: @jasonderulo
61,https://www.instagram.com/p/B-cq26PnMV2,28913,No,Credit: @ DM Me
77,https://www.instagram.com/p/B9zjRbrnWa5,27786,No,Credit: @
50,https://www.instagram.com/p/B-5JTiAH15o,25134,No,Credit: @ DM Me?
46,https://www.instagram.com/p/B_DkBj6Hv3a,24583,No,Credit: @ Dm Me ?
47,https://www.instagram.com/p/B_AztbUn_6q,24501,No,Credit: @arbenl1berateme
83,https://www.instagram.com/p/B9kJIdWnDsj,23222,No,Credit: @jellypoppings
70,https://www.instagram.com/p/B-FssTmn2ka,22560,No,Credit: @ DM Me?
57,https://www.instagram.com/p/B-na4ggH7Ni,21325,No,Credit: @macroroom
71,https://www.instagram.com/p/B-DOVxGJAWF,21098,No,Credit: @ DM Me?
69,https://www.instagram.com/p/B-IVk_iHtmG,20614,No,Credit: @ DM Me?
119,https://www.instagram.com/p/B8HuaoUnUj7,19636,Yes,Credit: @ - ✧ #slime #slimey #asmr #asmrsounds #christmas #sleepaid #slimevideo #crunch #crunchy #fluffyslime #jigglyslime #butterslime #crunchyslime #floam #crunchyfloam #satisfying #satisfyingvideo #art  #slimer #stressrelief #clearslime #art #satisfy #oddlysatisfying #slimerecipe #slimerepost #satisfyingfloam  #floammaking #daisoclay #slimecompilation
48,https://www.instagram.com/p/B--P3-Mno7k,17385,No,Credit: @bmwusa
13,https://www.instagram.com/p/CAbJegFH8g_,15795,No,Credit: @ dm me
5,https://www.instagram.com/p/CAvkz6MH7L1,15340,No,Credit: @ dm me
54,https://www.instagram.com/p/B-vEy4-lUyg,14818,No,Credit: @anniesartstudio 
59,https://www.instagram.com/p/B-iB5LZHt8Q,13915,No,Credit: @animalasmrvideo
123,https://www.instagram.com/p/B79LKFOH_5j,13684,No,Credit: @annettelabedzki  @asmrlovemuch
124,https://www.instagram.com/p/B76ffbal1rZ,13284,No,Credit: @snoopslimes @dang_kr - ✧ #slime #slimey #asmr #asmrsounds #christmas #sleepaid #slimevideo #crunch #crunchy #fluffyslime #jigglyslime #butterslime #crunchyslime #floam #crunchyfloam #satisfying #satisfyingvideo #art  #slimer #stressrelief #clearslime #art #satisfy #oddlysatisfying #slimerecipe #slimerepost #satisfyingfloam  #floammaking #daisoclay #slimecompilation
2,https://www.instagram.com/p/CA3aW-cnZYi,13119,No,Credit: @ dm me
56,https://www.instagram.com/p/B-p5Tv2HBWc,12664,No,Credit: @ DM Me?
89,https://www.instagram.com/p/B9VCsLqnGvR,12146,No,Credit:  @rogerkilimanjaro
9,https://www.instagram.com/p/CAlN180nU4Y,11360,No,Credit: @ dm me
120,https://www.instagram.com/p/B8FXhDPnOdC,10817,Yes,Credit: @lioncolony
64,https://www.instagram.com/p/B-VTHkTnZM-,10772,No,Credit: @sand.tagious
3,https://www.instagram.com/p/CA04PhAn3_6,10617,No,Credit: @ dm me
85,https://www.instagram.com/p/B9fLNdzHkNb,10519,No,Credit:  @undersatisfying
97,https://www.instagram.com/p/B9APzQjFRae,10194,No,Credit:  @edctoom
