MediaId,CreatedDate,PostUrl,NrLikes,NrComments,ViewCount,IsVideo,TaggedUsers,MentionedUsers,Caption,Location
2229286712316292545_3781958475,1/25/2020 5:02:08 PM,https://www.instagram.com/p/B7wBHQeHG3B,92147,182,1647987,Yes,,@pan_n_ice,"🍩🍦Hersheys 🍦🍩
Would you like to try this? Let me know! •
•
Credit: @pan_n_ice
-
🍩
🍩🍩
🍩🍩🍩
🍩🍩🍩🍩
🍩🍩🍩🍩🍩
tags
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages
🍩🍩🍩🍩🍩
🍩🍩🍩🍩
🍩🍩🍩
🍩🍩
🍩",
2238560238458193870_3781958475,2/7/2020 12:06:48 PM,https://www.instagram.com/p/B8Q9q0tnUfO,85320,405,1839123,Yes,,"@batt.ly,@simplysatisfyinguk,@simplysatisfyinguk,@simplysatisfyinguk","I do paid promos - dm me! 
Slowmo😩 or Original😭?⁣
•
Credit: @batt.ly •
•
•
@simplysatisfyinguk @simplysatisfyinguk @simplysatisfyinguk •
•
•#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages",
2239460827736201090_3781958475,2/8/2020 5:56:13 PM,https://www.instagram.com/p/B8UKcH1nleC,85254,247,1120670,Yes,,"@batt.ly,@simplysatisfyinguk,@simplysatisfyinguk,@simplysatisfyinguk","Ron 👨‍🦰 or Hermione 👧?⁣
•
Credit: @batt.ly •
•
•
@simplysatisfyinguk @simplysatisfyinguk @simplysatisfyinguk •
•
•#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages",
2228250193665299926_3781958475,1/24/2020 6:42:37 AM,https://www.instagram.com/p/B7sVb7QHZXW,78560,404,1477901,Yes,,@simplysatisfyinguk,"Imagine life was this perfect😍 (credit: Spider.The.Man/TikTok) -
-
-
If you’re from explore, follow me @simplysatisfyinguk for more❤️ -
-
-
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages",
2239918053445775198_3781958475,2/9/2020 9:04:29 AM,https://www.instagram.com/p/B8VyZodnq9e,78545,625,1179829,Yes,,"@batt.ly,@simplysatisfyinguk,@simplysatisfyinguk,@simplysatisfyinguk","Tag your corgi friends! 🐶
•
Credit: @batt.ly •
•
•
@simplysatisfyinguk @simplysatisfyinguk @simplysatisfyinguk •
•
•#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#corgi #redslime #slusheeslime #explorepages",
2225083632154686125_3781958475,1/19/2020 9:51:23 PM,https://www.instagram.com/p/B7hFcZCHbKt,78179,82,1197917,Yes,,@pan_n_ice,"🍓 Jello ice cream rolls 🍓
Would you like to try this? Let me know! •
•
Credit: @pan_n_ice
-
🍓
🍓🍓
🍓🍓🍓
🍓🍓🍓🍓
🍓🍓🍓🍓🍓
tags
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages
🍓🍓🍓🍓🍓
🍓🍓🍓🍓
🍓🍓🍓
🍓🍓
🍓",
2234166291527063164_3781958475,2/1/2020 10:36:38 AM,https://www.instagram.com/p/B8BWmevn1Z8,74977,203,0,No,,@rogerkilimanjaro,"How do you say 'COOL' in your language!
So Satisfying! Favorites? 💰🥇
By @rogerkilimanjaro
•
•
•
#vape #hydraulicpress
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #vapenation #whiteslime #redslime #slusheeslime #explorepages",
2245295595577066837_3781958475,2/16/2020 7:09:01 PM,https://www.instagram.com/p/B8o5HK2HsVV,72543,193,1564083,Yes,,"@simplysatisfyinguk,@satisfyingusa,@pan_n_ice","🍦🍊Kool-Aid🍊🍦 Would you like to try this? Let me know! 
Follow @simplysatisfyinguk 
Follow @satisfyingusa
•
Credit: @pan_n_ice -
🍊
🍊🍊
🍊🍊🍊
🍊🍊🍊🍊
🍊🍊🍊🍊🍊
🏷 
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages
🍊🍊🍊🍊🍊
🍊🍊🍊🍊
🍊🍊🍊
🍊🍊
🍊",
2228481178894018127_3781958475,1/24/2020 2:21:32 PM,https://www.instagram.com/p/B7tJ9NAnyZP,71588,263,1142236,Yes,,@musiacally,"MOTHER OR BOYFRIEND! COMMENT BELOW •
•
Credit: @musiacally
•
•
#slime #fluffyslime#asmr#satisfying #tsatisfy#slimeusa#satisfyingposts #fishbowlslime #slimyslime #crunchyslime#clearslime #brownslime #sellsand #kineticsand #uk#america #waterslime #greenslime #yellowslime #blueslime#slusheeslime #butterslime #icebergslime#creamcheeseslime #pinkslime #brownslime #blackslime#whiteslime #redslime #slusheeslime #explorepages",
2233778317601626827_3781958475,1/31/2020 9:48:47 PM,https://www.instagram.com/p/B7_-Yt3nVrL,67908,400,1688908,Yes,,@robsonpeluquero,"By @robsonpeluquero
•
•
#satisfyingvideo #slime #slimevideos #slimevideo #crushing#satisfying #satisfyingslimes #slimetutorial #slimepressing#slimevids #slimegoals #asmrsoap #slimeyvideo#asmrcommunity #bestslime #slimereview #asmrsounds#slimevideosdaily #instaslime #foodporndaily #slimeworld#crunchyslime #soapcutting #slimer #satisfy #diys#slimeyslime #satisfyingslime #diy #oddlysatisfying",
