OriginalUsername,MediaId,CreatedDate,PostUrl,NrLikes,NrComments,ViewCount,IsVideo,TaggedUsers,MentionedUsers,Caption,Location
satisfactionabc,2323557105959462955_18634906372,6/3/2020 9:40:13 PM,https://www.instagram.com/p/CA-7uCMDGgr,330,5,0,No,,,"Swipe👉Link in bio to download🔥

Credit: Dm

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2322823616939225378_18634906372,6/2/2020 9:22:54 PM,https://www.instagram.com/p/CA8U8XTjPEi,12463,91,0,No,,@mathiasberntsen96,"Swipe👉Link in bio to download🔥

Credit: @mathiasberntsen96

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2322083135854792018_18634906372,6/1/2020 8:51:42 PM,https://www.instagram.com/p/CA5sk8jjM1S,2690,14,0,No,,@leestone1,"Swipe👉Link in bio to download🔥

Credit: @leestone1

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2321391068799389707_18634906372,5/31/2020 9:56:41 PM,https://www.instagram.com/p/CA3POC4jVAL,11358,11,0,No,,,"Swipe👉Link in bio to download🔥

Credit: 847918460 (Douyin)

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2320669769122932955_18634906372,5/30/2020 10:03:36 PM,https://www.instagram.com/p/CA0rNwNj2jb,10333,37,0,No,,@ariii.smidt,"Swipe👉Link in bio to download🔥

Credit: @ariii.smidt 
#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2319933705261298095_18634906372,5/29/2020 9:41:10 PM,https://www.instagram.com/p/CAyD2nUjjGv,10127,52,0,No,,@thejasonpaul,"Swipe👉Link in bio to download🔥

Credit: @thejasonpaul

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2319211424386100845_18634906372,5/28/2020 9:46:07 PM,https://www.instagram.com/p/CAvfoC1j65t,25766,32,0,No,,@gm__golf,"Swipe👉Link in bio to download🔥

Credit: @gm__golf

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2318481731403726658_18634906372,5/27/2020 9:36:21 PM,https://www.instagram.com/p/CAs5tnSjT9C,86543,344,0,No,,,"Swipe👉Link in bio to download🔥

Credit: Dm

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2317743076595895209_18634906372,5/26/2020 9:08:47 PM,https://www.instagram.com/p/CAqRwxZHoup,7899,44,0,No,,,"Swipe👉Link in bio to download🔥

Credit: overtime (TikTok)

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2317050792971695320_18634906372,5/25/2020 10:13:20 PM,https://www.instagram.com/p/CAn0WuBnXTY,1332,1,0,No,,,"Swipe👉Link in bio to download the game🔥

Credit: Dm

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
satisfactionabc,2316319452919876290_18634906372,5/24/2020 10:00:18 PM,https://www.instagram.com/p/CAlOEUhncrC,7150,6,0,No,,,"Swipe👉Link in bio to download this fun multiplayer game🔥

Credit: Dm

#satisfyingpost #satisfyingposts #slime #slimevids #asmr #asmrvideo #slimevideo #mesmerising #oddlymesmerising #stressrelief #stressrelieving #calming #calmingvideo #calmingvideos #satisfy #relaxing #satisfying #oddlysatisfying #relax #oddlysatisfyingvideo #relaxingvideos #satisfyingvideos #satisfyingvideo #satisfyingvid #satisfyingcontent",
