OriginalUsername,MediaId,CreatedDate,PostUrl,NrLikes,NrComments,ViewCount,IsVideo,TaggedUsers,MentionedUsers,Caption,Location
satisfytour,2321364848159481510_11160870222,5/31/2020 9:04:36 PM,https://www.instagram.com/p/CA3JQfAn96m,10512,124,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: aesthetic.vids/tiktok",
satisfytour,2320592663454962976_11160870222,5/30/2020 7:30:24 PM,https://www.instagram.com/p/CA0Zrt9nFUg,36170,185,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: kimmietow/tiktok",
satisfytour,2317770701632452628_11160870222,5/26/2020 10:03:40 PM,https://www.instagram.com/p/CAqYCxNnDgU,31621,160,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: Izz03/tiktok",
satisfytour,2315589332345033308_11160870222,5/23/2020 9:49:40 PM,https://www.instagram.com/p/CAioDqwHBJc,38580,120,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: houseandhens/tiktok",
satisfytour,2314746412541109335_11160870222,5/22/2020 5:54:57 PM,https://www.instagram.com/p/CAfoZkgn2RX,72725,233,0,No,,"@satisfytour,@ang.isco","1 or 2?
❅
Follow me @satisfytour for more
❅
credit: @ang.isco",
satisfytour,2314069731803167479_11160870222,5/21/2020 7:30:30 PM,https://www.instagram.com/p/CAdOikdnHr3,183606,754,0,No,,"@satisfytour,@sweet_2pi","1 or 2?
❅
Follow me @satisfytour for more
❅
credit: david.beck/tiktok @sweet_2pi",
satisfytour,2313325233439552319_11160870222,5/20/2020 6:51:19 PM,https://www.instagram.com/p/CAalQsVHLM_,40055,308,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: sosatisfying/tiktok",
satisfytour,2312624349797873798_11160870222,5/19/2020 7:38:47 PM,https://www.instagram.com/p/CAYF5fknviG,51108,156,0,No,,@satisfytour,"some cool videos 🛹
❅
Follow me @satisfytour for more
❅
credit: creatingwonders/tiktok",
satisfytour,2311858930891847185_11160870222,5/18/2020 6:18:02 PM,https://www.instagram.com/p/CAVX3Lqn3YR,91629,691,0,No,,"@satisfytour,@john_derting22","1, 2, or 3?
❅
Follow me @satisfytour for more
❅
credit: @john_derting22",
satisfytour,2309017578525123125_11160870222,5/14/2020 8:12:46 PM,https://www.instagram.com/p/CALR0EEH2I1,68136,552,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: paigedormal/tiktok mari.lune/tiktok",
satisfytour,2304714824906235264_11160870222,5/8/2020 9:43:58 PM,https://www.instagram.com/p/B_7_ewfHN2A,18740,36,0,No,,@satisfymain,"Have you followed @satisfymain ? You won't regret it!!
❅
credit: lillydarmer99/tiktok",
satisfytour,2304597120656391436_11160870222,5/8/2020 5:50:07 PM,https://www.instagram.com/p/B_7kt73HL0M,136798,658,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: paigedormal/tiktok mari.lune/tiktok",
satisfytour,2303899624040994873_11160870222,5/7/2020 6:44:19 PM,https://www.instagram.com/p/B_5GIBhHpg5,66486,285,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: pfriends521/tiktok",
satisfytour,2303232016002084005_11160870222,5/6/2020 8:37:54 PM,https://www.instagram.com/p/B_2uVDFHGyl,53945,171,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: punch8/tiktok",
satisfytour,2302519896683986927_11160870222,5/5/2020 9:03:02 PM,https://www.instagram.com/p/B_0MaWSHj_v,115215,3554,0,No,,@satisfytour,"animal eating 🐨
❅
Follow me @satisfytour for more
❅
credit: kimmyream/tiktok",
satisfytour,2298167628266368328_11160870222,4/29/2020 8:56:41 PM,https://www.instagram.com/p/B_ku0gdHm1I,27882,156,397296,Yes,,@satisfytour,"why does it look like white paint
❅
Follow me @satisfytour for more
❅
credit: waterpressure/tiktok",
satisfytour,2297484186033745271_11160870222,4/28/2020 10:17:59 PM,https://www.instagram.com/p/B_iTbHRnm13,95587,1474,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: mojothemonkey/tiktok",
satisfytour,2296798821408880799_11160870222,4/27/2020 11:36:17 PM,https://www.instagram.com/p/B_f3lvunLif,27881,254,0,No,,@satisfytour,"what is this?
❅
Follow me @satisfytour for more
❅
credit: nicolebutner/tiktok",
satisfytour,2295937617979476991_11160870222,4/26/2020 7:05:14 PM,https://www.instagram.com/p/B_czxliH4v_,102066,501,0,No,,@satisfytour,"tie-dye comforter
❅
Follow me @satisfytour for more
❅
credit: nicolebutner/tiktok",
satisfytour,2295310148255486768_11160870222,4/25/2020 10:19:02 PM,https://www.instagram.com/p/B_alGs0HhMw,10004,168,162430,Yes,,@satisfytour,"turtle asmr!!
❁
Follow me @satisfytour for more
❁
credit: turtleasmrchannl/tiktok",
satisfytour,2292400940153482571_11160870222,4/21/2020 9:58:29 PM,https://www.instagram.com/p/B_QPoJonq1L,31977,318,0,No,,"@satisfytour,@sweetportfolio","Whipped Strawberry Milk 🍓
❅
Follow me @satisfytour for more
❅
credit: @sweetportfolio",
satisfytour,2291633130854868275_11160870222,4/20/2020 8:33:18 PM,https://www.instagram.com/p/B_NhDDgHuUz,19102,43,347305,Yes,,@satisfytour,"try it!
❅
Follow me @satisfytour for more
❅
credit: sosatisfying/tiktok",
satisfytour,2290092068025685243_11160870222,4/18/2020 5:32:18 PM,https://www.instagram.com/p/B_ICpo5nFT7,12863,232,190247,Yes,,@satisfytour,"first emoji is your reaction
❅
Follow me @satisfytour for more
❅
credit:melissaanne12/tiktok",
satisfytour,2289465857691924573_11160870222,4/17/2020 8:47:00 PM,https://www.instagram.com/p/B_F0RFFHLhd,16102,101,0,No,,@satisfytour,"1 or 2?
❅
Follow me @satisfytour for more
❅
credit: musclehoney/tiktok",
satisfytour,2289394497825427011_11160870222,4/17/2020 6:25:13 PM,https://www.instagram.com/p/B_FkCqBnk5D,59256,699,0,No,,@satisfytour,"wait until you see day 4!
❅
Follow me @satisfytour for more
❅
credit: jess.ahart/tiktok",
satisfytour,2288658081927549952_11160870222,4/16/2020 6:02:05 PM,https://www.instagram.com/p/B_C8mZRnlQA,125134,787,0,No,,@satisfytour,"cute animal videos 🐯
❅
Follow me @satisfytour for more
❅
credit: jess.ahart/tiktok",
satisfytour,2287313350266022920_11160870222,4/14/2020 9:30:50 PM,https://www.instagram.com/p/B--K1-UnWwI,15420,96,311550,Yes,,@satisfytour,"how do you say “drink” in your language?
❁
Follow me @satisfytour for more
❁
credit: eye.inspired/tiktok",
satisfytour,2285762959246319304_11160870222,4/12/2020 6:10:00 PM,https://www.instagram.com/p/B-4qU0Kn17I,20994,217,0,No,,"@satisfytour,@twin_coast","1, 2, or 3?
❁
Follow me @satisfytour for more
❁
credit: @twin_coast",
satisfytour,2284365408991332159_11160870222,4/10/2020 7:53:19 PM,https://www.instagram.com/p/B-zsjyEHkc_,70117,195,0,No,,@satisfytour,"which color is your favorite?
❁
Follow me @satisfytour for more
❁
credit: b_turn11",
satisfytour,2284334781126659633_11160870222,4/10/2020 6:53:09 PM,https://www.instagram.com/p/B-zlmFpH84x,82079,1566,1454471,Yes,,"@satisfytour,@animalasmrvideo","turtle eating dragonfruit!
❁
Follow me @satisfytour for more
❁
credit: @animalasmrvideo",
satisfytour,2283684456573019559_11160870222,4/9/2020 9:20:23 PM,https://www.instagram.com/p/B-xRuntHaWn,85034,394,0,No,,@themostsatisfied,"Have you followed @themostsatisfied ? You won't regret it!!
Credit: william.henderdog/tiktok",
satisfytour,2283600806959510391_11160870222,4/9/2020 6:34:46 PM,https://www.instagram.com/p/B-w-tW7nfN3,16708,107,413527,Yes,,"@satisfytour,@selene.drawz","comment your favorite emoji!
❁
Follow me @satisfytour for more
❁
credit: @selene.drawz",
satisfytour,2282833653977239781_11160870222,4/8/2020 5:10:41 PM,https://www.instagram.com/p/B-uQR0CntDl,10112,161,186250,Yes,,@satisfytour,"what’s “paint” in your language?
❁
Follow me @satisfytour for more
❁
credit: zenmo_ca/tiktok",
satisfytour,2282150478611258779_11160870222,4/7/2020 6:33:01 PM,https://www.instagram.com/p/B-r08TZnJ2b,34647,417,664848,Yes,,@satisfytour,"stirring cup!
❁
Follow me @satisfytour for more
❁
credit: complex/tiktok",
satisfytour,2281466937988818920_11160870222,4/6/2020 7:54:34 PM,https://www.instagram.com/p/B-pZhelnyfo,17443,81,0,No,,"@satisfytour,@satisfylure","1 or 2?
❁
Follow me @satisfytour for more
❁
credit: via @satisfylure",
satisfytour,2281427012274684427_11160870222,4/6/2020 6:35:51 PM,https://www.instagram.com/p/B-pQce3nQIL,28440,78,472564,Yes,,@satisfytour,"paint mixing!
❁
Follow me @satisfytour for more
❁
credit: sosatisfying/tiktok",
satisfytour,2280733996341850249_11160870222,4/5/2020 7:38:50 PM,https://www.instagram.com/p/B-my3xfHPCJ,11372,52,278867,Yes,,@satisfytour,"do you like Aloe Vera?
❁
Follow me @satisfytour for more
❁
credit: sosatisfying/tiktok",
satisfytour,2279979378984940011_11160870222,4/4/2020 6:39:03 PM,https://www.instagram.com/p/B-kHSpTnPHr,42886,206,0,No,,@satisfytour,"1 or 2?
❁
Follow me @satisfytour for more
❁
credit: creatingwonders/tiktok",
satisfytour,2279224298132260736_11160870222,4/3/2020 5:39:59 PM,https://www.instagram.com/p/B-hbmxdnMeA,164875,931,2093908,Yes,,@satisfytour,"secret starbucks recipe!
❁
Follow me @satisfytour for more
❁
credit: starbucksrecipes/tiktok",
satisfytour,2278495261676075252_11160870222,4/2/2020 5:30:55 PM,https://www.instagram.com/p/B-e115WnPj0,30157,509,572089,Yes,,"@satisfytour,@meridian.rose.official","third emoji is your reaction!
❁
Follow me @satisfytour for more!
❁
credit: @meridian.rose.official",
satisfytour,2277820482895906142_11160870222,4/1/2020 7:09:43 PM,https://www.instagram.com/p/B-ccakpHoVe,19233,96,0,No,,"@satisfytour,@satisfylure","1 or 2?
❁
Follow me @satisfytour for more!
❁
credit: via @satisfylure",
satisfytour,2277095706074249665_11160870222,3/31/2020 7:10:10 PM,https://www.instagram.com/p/B-Z3nroH3nB,96271,604,1296496,Yes,,@satisfytour,"secret starbucks recipe!
❁
Follow me @satisfytour for more
❁
credit: starbucksrecipes/tiktok",
satisfytour,2276377644064582701_11160870222,3/30/2020 7:23:03 PM,https://www.instagram.com/p/B-XUWgRHCwt,103545,394,0,No,,"@satisfytour,@hollyandhazelnut,@andersonkelley","cute animal videos 🐶
❅
Follow me @satisfytour for more
❅
credit: @hollyandhazelnut @andersonkelley",
satisfytour,2275681087333873996_11160870222,3/29/2020 8:19:07 PM,https://www.instagram.com/p/B-U1-RQnDlM,94267,403,0,No,,@satisfytour,"henna tattoos! ⛅️
❅
Follow me @satisfytour for more
❅
credit: gopihenna, hennabyharmeet, bxr.xo (tiktok)",
satisfytour,2275598444596698589_11160870222,3/29/2020 5:35:37 PM,https://www.instagram.com/p/B-UjLqNnh3d,62247,396,841839,Yes,,@satisfytour,"secret starbucks recipe *again*
❁
Follow me @satisfytour for more
❁
credit: starbucksrecipes/tiktok",
satisfytour,2275011514188377914_11160870222,3/28/2020 10:09:12 PM,https://www.instagram.com/p/B-SdusrHy86,23144,117,522061,Yes,,@satisfytour,"Follow me @satisfytour for more
❅
credit: willitclamp/tiktok",
satisfytour,2274879746151818719_11160870222,3/28/2020 5:47:00 PM,https://www.instagram.com/p/B-R_xOIHCXf,138229,373,0,No,,"@satisfytour,@avamendyy","stay tuned for part 3! 🌸
❅
Follow me @satisfytour for more
❅
credit: @avamendyy",
